Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
92,1.533,-4.635,5,0.75,-0.0462,0.1392,0.14999999999999983,0.14999999999999983,0.029999999999999968,0.029999999999999968,-0.0923,0.02784,0.365,0.1114,0.0021,14.715,14.7171,AFTER
93,1.55,-4.6358,5,0.75,-0.0439,0.1322,0.13529411764705762,0.13529411764705762,0.027058823529411524,0.027058823529411524,-0.0877,0.026440000000000005,0.3642,0.1121,0.0019,14.715,14.7169,AFTER
94,1.567,-4.6365,5,0.75,-0.0417,0.1256,0.12941176470588311,0.12941176470588311,0.025882352941176624,0.025882352941176624,-0.0833,0.02512,0.3635,0.1128,0.0017,14.715,14.7167,AFTER
95,1.583,-4.6371,5,0.75,-0.0396,0.1193,0.13124999999999973,0.13124999999999973,0.026249999999999947,0.026249999999999947,-0.0792,0.023860000000000003,0.3629,0.1135,0.0016,14.715,14.7166,AFTER
96,1.6,-4.6377,5,0.75,-0.0376,0.1134,0.11764705882352865,0.11764705882352865,0.02352941176470573,0.02352941176470573,-0.0752,0.022680000000000002,0.3623,0.1141,0.0014,14.715,14.7164,AFTER
97,1.617,-4.6383,5,0.75,-0.0357,0.1077,0.1117647058823535,0.1117647058823535,0.0223529411764707,0.0223529411764707,-0.0714,0.021540000000000004,0.3617,0.1147,0.0013,14.715,14.7163,AFTER
98,1.633,-4.6389,5,0.75,-0.0339,0.1023,0.11250000000000009,0.11250000000000009,0.02250000000000002,0.02250000000000002,-0.0679,0.020460000000000002,0.3611,0.1153,0.0012,14.715,14.7162,AFTER
99,1.65,-4.6394,5,0.75,-0.0322,0.0972,0.10000000000000057,0.10000000000000057,0.020000000000000115,0.020000000000000115,-0.0645,0.01944,0.3606,0.1158,0.001,14.715,14.716,AFTER
100,1.667,-4.6399,5,0.75,-0.0306,0.0923,0.09411764705882288,0.09411764705882288,0.018823529411764576,0.018823529411764576,-0.0612,0.01846,0.3601,0.1163,0.0009,14.715,14.7159,AFTER
101,1.683,-4.6404,5,0.75,-0.0291,0.0877,0.09374999999999978,0.09374999999999978,0.018749999999999958,0.018749999999999958,-0.0582,0.01754,0.3596,0.1168,0.0008,14.715,14.7158,AFTER
102,1.7,-4.6409,5,0.75,-0.0276,0.0833,0.08823529411764763,0.08823529411764763,0.017647058823529526,0.017647058823529526,-0.0553,0.01666,0.3591,0.1173,0.0008,14.715,14.7158,AFTER
103,1.717,-4.6413,5,0.75,-0.0263,0.0792,0.0764705882352935,0.0764705882352935,0.015294117647058701,0.015294117647058701,-0.0525,0.015840000000000003,0.3587,0.1177,0.0007,14.715,14.7157,AFTER
104,1.733,-4.6417,5,0.75,-0.0249,0.0752,0.08750000000000005,0.08750000000000005,0.017500000000000012,0.017500000000000012,-0.0499,0.015040000000000001,0.3583,0.1181,0.0006,14.715,14.7156,AFTER
105,1.75,-4.6421,5,0.75,-0.0237,0.0714,0.07058823529411802,0.07058823529411802,0.014117647058823605,0.014117647058823605,-0.0474,0.014280000000000001,0.3579,0.1185,0.0006,14.715,14.7156,AFTER
